yourlist:M2022040592C7BAECDB1C5C413EE0E0348724B682493F9F6	Entry	Entry name	Status	Protein names	Gene names	Cross-reference (GeneID)	Organism	Length
LRP10	O75096	LRP4_HUMAN	reviewed	Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)	LRP4 KIAA0816 LRP10 MEGF7	4038;	Homo sapiens (Human)	1905
LRP10	Q7Z4F1	LRP10_HUMAN	reviewed	Low-density lipoprotein receptor-related protein 10 (LRP-10)	LRP10 MSTP087 SP220 UNQ389/PRO724	26020;	Homo sapiens (Human)	713
SOX4	Q06945	SOX4_HUMAN	reviewed	Transcription factor SOX-4	SOX4	6659;	Homo sapiens (Human)	474
CAT	P04040	CATA_HUMAN	reviewed	Catalase (EC 1.11.1.6)	CAT	847;	Homo sapiens (Human)	527
CAT	Q6IB77	GLYAT_HUMAN	reviewed	Glycine N-acyltransferase (EC 2.3.1.13) (Acyl-CoA:glycine N-acyltransferase) (AAc) (Aralkyl acyl-CoA N-acyltransferase) (Aralkyl acyl-CoA:amino acid N-acyltransferase) (Benzoyl-coenzyme A:glycine N-acyltransferase) (Glycine N-benzoyltransferase) (EC 2.3.1.71) (HRP-1(CLP))	GLYAT ACGNAT CAT GAT	10249;	Homo sapiens (Human)	296
RHEB	Q15382	RHEB_HUMAN	reviewed	GTP-binding protein Rheb (Ras homolog enriched in brain)	RHEB RHEB2	6009;	Homo sapiens (Human)	184
MAPKAPK2	P49137	MAPK2_HUMAN	reviewed	MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)	MAPKAPK2	9261;	Homo sapiens (Human)	400
SCRN1	Q12765	SCRN1_HUMAN	reviewed	Secernin-1	SCRN1 KIAA0193	9805;	Homo sapiens (Human)	414
JUN	P05412	JUN_HUMAN	reviewed	Transcription factor Jun (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (Transcription factor AP-1 subunit Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (p39)	JUN	3725;	Homo sapiens (Human)	331
SHC1	P29353	SHC1_HUMAN	reviewed	SHC-transforming protein 1 (SHC-transforming protein 3) (SHC-transforming protein A) (Src homology 2 domain-containing-transforming protein C1) (SH2 domain protein C1)	SHC1 SHC SHCA	6464;	Homo sapiens (Human)	583
SQSTM1	Q13501	SQSTM_HUMAN	reviewed	Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62)	SQSTM1 ORCA OSIL	8878;	Homo sapiens (Human)	440
PRCP	P42785	PCP_HUMAN	reviewed	Lysosomal Pro-X carboxypeptidase (EC 3.4.16.2) (Angiotensinase C) (Lysosomal carboxypeptidase C) (Proline carboxypeptidase) (Prolylcarboxypeptidase) (PRCP)	PRCP PCP	5547;	Homo sapiens (Human)	496
USP7	Q93009	UBP7_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)	USP7 HAUSP	7874;	Homo sapiens (Human)	1102
NFKBIA	P25963	IKBA_HUMAN	reviewed	NF-kappa-B inhibitor alpha (I-kappa-B-alpha) (IkB-alpha) (IkappaBalpha) (Major histocompatibility complex enhancer-binding protein MAD3)	NFKBIA IKBA MAD3 NFKBI	4792;	Homo sapiens (Human)	317
G3BP1	Q13283	G3BP1_HUMAN	reviewed	Ras GTPase-activating protein-binding protein 1 (G3BP-1) (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent DNA helicase VIII) (hDH VIII) (GAP SH3 domain-binding protein 1)	G3BP1 G3BP	10146;	Homo sapiens (Human)	466
TOMM70A	O94826	TOM70_HUMAN	reviewed	Mitochondrial import receptor subunit TOM70 (Mitochondrial precursor proteins import receptor) (Translocase of outer membrane 70 kDa subunit) (Translocase of outer mitochondrial membrane protein 70)	TOMM70 KIAA0719 TOM70 TOMM70A	9868;	Homo sapiens (Human)	608
RPA1	P27694	RFA1_HUMAN	reviewed	Replication protein A 70 kDa DNA-binding subunit (RP-A p70) (Replication factor A protein 1) (RF-A protein 1) (Single-stranded DNA-binding protein) [Cleaved into: Replication protein A 70 kDa DNA-binding subunit, N-terminally processed]	RPA1 REPA1 RPA70	6117;	Homo sapiens (Human)	616
ZFP36	P16415	ZN823_HUMAN	reviewed	Zinc finger protein 823 (Zinc finger protein ZFP-36)	ZNF823 ZFP36	55552;	Homo sapiens (Human)	610
ZFP36	P26651	TTP_HUMAN	reviewed	mRNA decay activator protein ZFP36 (G0/G1 switch regulatory protein 24) (Growth factor-inducible nuclear protein NUP475) (Tristetraprolin) (Zinc finger protein 36) (Zfp-36)	ZFP36 G0S24 NUP475 RNF162A TIS11A TTP	7538;	Homo sapiens (Human)	326
DUSP3	P51452	DUS3_HUMAN	reviewed	Dual specificity protein phosphatase 3 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase VHR) (Vaccinia H1-related phosphatase) (VHR)	DUSP3 VHR	1845;	Homo sapiens (Human)	185
KDM5B	Q9UGL1	KDM5B_HUMAN	reviewed	Lysine-specific demethylase 5B (EC 1.14.11.67) (Cancer/testis antigen 31) (CT31) (Histone demethylase JARID1B) (Jumonji/ARID domain-containing protein 1B) (PLU-1) (Retinoblastoma-binding protein 2 homolog 1) (RBP2-H1) ([histone H3]-trimethyl-L-lysine(4) demethylase 5B)	KDM5B JARID1B PLU1 RBBP2H1	10765;	Homo sapiens (Human)	1544
MCM3	P25205	MCM3_HUMAN	reviewed	DNA replication licensing factor MCM3 (EC 3.6.4.12) (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3) (RLF subunit beta) (p102)	MCM3	4172;	Homo sapiens (Human)	808
CLIC4	Q9Y696	CLIC4_HUMAN	reviewed	Chloride intracellular channel protein 4 (Intracellular chloride ion channel protein p64H1)	CLIC4	25932;	Homo sapiens (Human)	253
CLSTN1	O94985	CSTN1_HUMAN	reviewed	Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) (Alzheimer-related cadherin-like protein) (Non-classical cadherin XB31alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)]	CLSTN1 CS1 KIAA0911	22883;	Homo sapiens (Human)	981
ID2	Q02363	ID2_HUMAN	reviewed	DNA-binding protein inhibitor ID-2 (Class B basic helix-loop-helix protein 26) (bHLHb26) (Inhibitor of DNA binding 2) (Inhibitor of differentiation 2)	ID2 BHLHB26	3398;	Homo sapiens (Human)	134
DCTD	P32321	DCTD_HUMAN	reviewed	Deoxycytidylate deaminase (EC 3.5.4.12) (dCMP deaminase)	DCTD	1635;	Homo sapiens (Human)	178
FAT1	Q14517	FAT1_HUMAN	reviewed	Protocadherin Fat 1 (Cadherin family member 7) (Cadherin-related tumor suppressor homolog) (Protein fat homolog) [Cleaved into: Protocadherin Fat 1, nuclear form]	FAT1 CDHF7 FAT	2195;	Homo sapiens (Human)	4588
SMC1A	Q14683	SMC1A_HUMAN	reviewed	Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1-alpha) (SMC-1A) (Sb1.8)	SMC1A DXS423E KIAA0178 SB1.8 SMC1 SMC1L1	8243;	Homo sapiens (Human)	1233
NISCH	Q9Y2I1	NISCH_HUMAN	reviewed	Nischarin (Imidazoline receptor 1) (I-1) (IR1) (Imidazoline receptor antisera-selected protein) (hIRAS) (Imidazoline-1 receptor) (I1R) (Imidazoline-1 receptor candidate protein) (I-1 receptor candidate protein) (I1R candidate protein)	NISCH IRAS KIAA0975	11188;	Homo sapiens (Human)	1504
PWP1	Q13610	PWP1_HUMAN	reviewed	Periodic tryptophan protein 1 homolog (Keratinocyte protein IEF SSP 9502)	PWP1	11137;	Homo sapiens (Human)	501
ICMT	O60725	ICMT_HUMAN	reviewed	Protein-S-isoprenylcysteine O-methyltransferase (EC 2.1.1.100) (Isoprenylcysteine carboxylmethyltransferase) (Prenylated protein carboxyl methyltransferase) (PPMT) (Prenylcysteine carboxyl methyltransferase) (pcCMT)	ICMT PCCMT	23463;	Homo sapiens (Human)	284
RUVBL1	Q9Y265	RUVB1_HUMAN	reviewed	RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (54 kDa erythrocyte cytosolic protein) (ECP-54) (INO80 complex subunit H) (Nuclear matrix protein 238) (NMP 238) (Pontin 52) (TIP49a) (TIP60-associated protein 54-alpha) (TAP54-alpha)	RUVBL1 INO80H NMP238 TIP49 TIP49A	8607;	Homo sapiens (Human)	456
MBTPS1	Q14703	MBTP1_HUMAN	reviewed	Membrane-bound transcription factor site-1 protease (EC 3.4.21.112) (Endopeptidase S1P) (Subtilisin/kexin-isozyme 1) (SKI-1)	MBTPS1 KIAA0091 S1P SKI1	8720;	Homo sapiens (Human)	1052
INSIG1	O15503	INSI1_HUMAN	reviewed	Insulin-induced gene 1 protein (INSIG-1)	INSIG1	3638;	Homo sapiens (Human)	277
RRAGA	Q7L523	RRAGA_HUMAN	reviewed	Ras-related GTP-binding protein A (Rag A) (RagA) (EC 3.6.5.-) (Adenovirus E3 14.7 kDa-interacting protein 1) (FIP-1)	RRAGA	10670;	Homo sapiens (Human)	313
IER3	P46695	IEX1_HUMAN	reviewed	Radiation-inducible immediate-early gene IEX-1 (Differentiation-dependent gene 2 protein) (Protein DIF-2) (Immediate early protein GLY96) (Immediate early response 3 protein) (PACAP-responsive gene 1 protein) (Protein PRG1)	IER3 DIF2 IEX1 PRG1	8870;	Homo sapiens (Human)	156
UBE2L6	O14933	UB2L6_HUMAN	reviewed	Ubiquitin/ISG15-conjugating enzyme E2 L6 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L6) (Retinoic acid-induced gene B protein) (RIG-B) (UbcH8) (Ubiquitin carrier protein L6) (Ubiquitin-protein ligase L6)	UBE2L6 UBCH8	9246;	Homo sapiens (Human)	153
SMC4	Q9NTJ3	SMC4_HUMAN	reviewed	Structural maintenance of chromosomes protein 4 (SMC protein 4) (SMC-4) (Chromosome-associated polypeptide C) (hCAP-C) (XCAP-C homolog)	SMC4 CAPC SMC4L1	10051;	Homo sapiens (Human)	1288
USP14	P54578	UBP14_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)	USP14 TGT	9097;	Homo sapiens (Human)	494
EGR1	P18146	EGR1_HUMAN	reviewed	Early growth response protein 1 (EGR-1) (AT225) (Nerve growth factor-induced protein A) (NGFI-A) (Transcription factor ETR103) (Transcription factor Zif268) (Zinc finger protein 225) (Zinc finger protein Krox-24)	EGR1 KROX24 ZNF225	1958;	Homo sapiens (Human)	543
PNP	P00491	PNPH_HUMAN	reviewed	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	PNP NP	4860;	Homo sapiens (Human)	289
PNP	P01298	PAHO_HUMAN	reviewed	Pancreatic prohormone (Pancreatic polypeptide) (PP) (Obinepitide) [Cleaved into: Pancreatic hormone (PH); Pancreatic icosapeptide (PI)]	PPY PNP	5539;	Homo sapiens (Human)	95
DNMT1	P26358	DNMT1_HUMAN	reviewed	DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (CXXC-type zinc finger protein 9) (DNA methyltransferase HsaI) (DNA MTase HsaI) (M.HsaI) (MCMT)	DNMT1 AIM CXXC9 DNMT	1786;	Homo sapiens (Human)	1616
CCND3	P30281	CCND3_HUMAN	reviewed	G1/S-specific cyclin-D3	CCND3	896;	Homo sapiens (Human)	292
NIPSNAP1	Q9BPW8	NIPS1_HUMAN	reviewed	Protein NipSnap homolog 1 (NipSnap1)	NIPSNAP1	8508;	Homo sapiens (Human)	284
MYBL2	P10244	MYBB_HUMAN	reviewed	Myb-related protein B (B-Myb) (Myb-like protein 2)	MYBL2 BMYB	4605;	Homo sapiens (Human)	700
EPB41L2	O43491	E41L2_HUMAN	reviewed	Band 4.1-like protein 2 (Erythrocyte membrane protein band 4.1-like 2) (Generally expressed protein 4.1) (4.1G)	EPB41L2	2037;	Homo sapiens (Human)	1005
ELAVL1	Q15717	ELAV1_HUMAN	reviewed	ELAV-like protein 1 (Hu-antigen R) (HuR)	ELAVL1 HUR	1994;	Homo sapiens (Human)	326
KIAA0100	Q14667	K0100_HUMAN	reviewed	Protein KIAA0100 (Antigen MLAA-22) (Breast cancer-overexpressed gene 1 protein)	KIAA0100 BCOX1	9703;	Homo sapiens (Human)	2235
TP53	P04637	P53_HUMAN	reviewed	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	7157;	Homo sapiens (Human)	393
RPA2	P15927	RFA2_HUMAN	reviewed	Replication protein A 32 kDa subunit (RP-A p32) (Replication factor A protein 2) (RF-A protein 2) (Replication protein A 34 kDa subunit) (RP-A p34)	RPA2 REPA2 RPA32 RPA34	6118;	Homo sapiens (Human)	270
MTHFD2	P13995	MTDC_HUMAN	reviewed	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial [Includes: NAD-dependent methylenetetrahydrofolate dehydrogenase (EC 1.5.1.15); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	MTHFD2 NMDMC	10797;	Homo sapiens (Human)	350
PSME2	Q9UL46	PSME2_HUMAN	reviewed	Proteasome activator complex subunit 2 (11S regulator complex subunit beta) (REG-beta) (Activator of multicatalytic protease subunit 2) (Proteasome activator 28 subunit beta) (PA28b) (PA28beta)	PSME2	5721;	Homo sapiens (Human)	239
DAXX	Q9UER7	DAXX_HUMAN	reviewed	Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein)	DAXX BING2 DAP6	1616;	Homo sapiens (Human)	740
ELAC2	Q9BQ52	RNZ2_HUMAN	reviewed	Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11) (ElaC homolog protein 2) (Heredity prostate cancer protein 2) (Ribonuclease Z 2) (RNase Z 2) (tRNA 3 endonuclease 2) (tRNase Z 2)	ELAC2 HPC2	60528;	Homo sapiens (Human)	826
NCAPD2	Q15021	CND1_HUMAN	reviewed	Condensin complex subunit 1 (Chromosome condensation-related SMC-associated protein 1) (Chromosome-associated protein D2) (hCAP-D2) (Non-SMC condensin I complex subunit D2) (XCAP-D2 homolog)	NCAPD2 CAPD2 CNAP1 KIAA0159	9918;	Homo sapiens (Human)	1401
EFCAB14	O75071	EFC14_HUMAN	reviewed	EF-hand calcium-binding domain-containing protein 14	EFCAB14 KIAA0494	9813;	Homo sapiens (Human)	495
DDX42	Q86XP3	DDX42_HUMAN	reviewed	ATP-dependent RNA helicase DDX42 (EC 3.6.4.13) (DEAD box protein 42) (RNA helicase-like protein) (RHELP) (RNA helicase-related protein) (RNAHP) (SF3b DEAD box protein) (Splicing factor 3B-associated 125 kDa protein) (SF3b125)	DDX42	11325;	Homo sapiens (Human)	938
LBR	Q14739	LBR_HUMAN	reviewed	Delta(14)-sterol reductase LBR (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (LMN2R) (Lamin-B receptor) (Sterol C14-reductase)	LBR	3930;	Homo sapiens (Human)	615
SH3BP5	O60239	3BP5_HUMAN	reviewed	SH3 domain-binding protein 5 (SH3BP-5) (SH3 domain-binding protein that preferentially associates with BTK)	SH3BP5 SAB	9467;	Homo sapiens (Human)	455
UBE3C	Q15386	UBE3C_HUMAN	reviewed	Ubiquitin-protein ligase E3C (EC 2.3.2.26) (HECT-type ubiquitin transferase E3C) (Homologous to E6AP carboxyl terminus homologous protein 2) (HectH2) (RTA-associated ubiquitin ligase) (RAUL)	UBE3C KIAA0010 KIAA10	9690;	Homo sapiens (Human)	1083
SCARB1	Q8WTV0	SCRB1_HUMAN	reviewed	Scavenger receptor class B member 1 (SRB1) (CD36 and LIMPII analogous 1) (CLA-1) (CD36 antigen-like 1) (Collagen type I receptor, thrombospondin receptor-like 1) (SR-BI) (CD antigen CD36)	SCARB1 CD36L1 CLA1	949;	Homo sapiens (Human)	552
SCCPDH	Q8NBX0	SCPDL_HUMAN	reviewed	Saccharopine dehydrogenase-like oxidoreductase (EC 1.-.-.-)	SCCPDH CGI-49	51097;	Homo sapiens (Human)	429
SMARCD2	Q92925	SMRD2_HUMAN	reviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 (60 kDa BRG-1/Brm-associated factor subunit B) (BRG1-associated factor 60B) (BAF60B)	SMARCD2 BAF60B PRO2451	6603;	Homo sapiens (Human)	531
NET1	P23975	SC6A2_HUMAN	reviewed	Sodium-dependent noradrenaline transporter (Norepinephrine transporter) (NET) (Solute carrier family 6 member 2)	SLC6A2 NAT1 NET1 SLC6A5	6530;	Homo sapiens (Human)	617
NET1	Q7Z628	ARHG8_HUMAN	reviewed	Neuroepithelial cell-transforming gene 1 protein (Proto-oncogene p65 Net1) (Rho guanine nucleotide exchange factor 8)	NET1 ARHGEF8	10276;	Homo sapiens (Human)	596
NET1	Q9Y345	SC6A5_HUMAN	reviewed	Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5)	SLC6A5 GLYT2 NET1	9152;	Homo sapiens (Human)	797
HDAC2	Q92769	HDAC2_HUMAN	reviewed	Histone deacetylase 2 (HD2) (EC 3.5.1.98) (Protein deacylase HDAC2) (EC 3.5.1.-)	HDAC2	3066;	Homo sapiens (Human)	488
HSPB1	P04792	HSPB1_HUMAN	reviewed	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	3315;	Homo sapiens (Human)	205
LIPA	P38571	LICH_HUMAN	reviewed	Lysosomal acid lipase/cholesteryl ester hydrolase (Acid cholesteryl ester hydrolase) (LAL) (EC 3.1.1.13) (Cholesteryl esterase) (Lipase A) (Sterol esterase)	LIPA	3988;	Homo sapiens (Human)	399
BNIP3	Q12983	BNIP3_HUMAN	reviewed	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	BNIP3 NIP3	664;	Homo sapiens (Human)	259
CDC25B	P30305	MPIP2_HUMAN	reviewed	M-phase inducer phosphatase 2 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25B)	CDC25B CDC25HU2	994;	Homo sapiens (Human)	580
ATMIN	O43313	ATMIN_HUMAN	reviewed	ATM interactor (ATM/ATR-substrate CHK2-interacting zinc finger protein) (ASCIZ) (Zinc finger protein 822)	ATMIN KIAA0431 ZNF822	23300;	Homo sapiens (Human)	823
TOMM34	Q15785	TOM34_HUMAN	reviewed	Mitochondrial import receptor subunit TOM34 (hTom34) (Translocase of outer membrane 34 kDa subunit)	TOMM34 URCC3	10953;	Homo sapiens (Human)	309
MPZL1	O95297	MPZL1_HUMAN	reviewed	Myelin protein zero-like protein 1 (Protein zero-related)	MPZL1 PZR UNQ849/PRO1787	9019;	Homo sapiens (Human)	269
IL13RA1	P78552	I13R1_HUMAN	reviewed	Interleukin-13 receptor subunit alpha-1 (IL-13 receptor subunit alpha-1) (IL-13R subunit alpha-1) (IL-13R-alpha-1) (IL-13RA1) (Cancer/testis antigen 19) (CT19) (CD antigen CD213a1)	IL13RA1 IL13R IL13RA	3597;	Homo sapiens (Human)	427
PSRC1	Q6PGN9	PSRC1_HUMAN	reviewed	Proline/serine-rich coiled-coil protein 1	PSRC1 DDA3 FP3214	84722;	Homo sapiens (Human)	363
UBE2A	P49459	UBE2A_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 A (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme A) (RAD6 homolog A) (HR6A) (hHR6A) (Ubiquitin carrier protein A) (Ubiquitin-protein ligase A)	UBE2A RAD6A	7319;	Homo sapiens (Human)	152
COASY	Q13057	COASY_HUMAN	reviewed	Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)]	COASY PSEC0106	80347;	Homo sapiens (Human)	564
LRRC41	Q15345	LRC41_HUMAN	reviewed	Leucine-rich repeat-containing protein 41 (Protein Muf1)	LRRC41 MUF1 PP7759	10489;	Homo sapiens (Human)	812
MYCBP2	O75592	MYCB2_HUMAN	reviewed	E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Protein associated with Myc)	MYCBP2 KIAA0916 PAM	23077;	Homo sapiens (Human)	4678
RBM6	P78332	RBM6_HUMAN	reviewed	RNA-binding protein 6 (Lung cancer antigen NY-LU-12) (Protein G16) (RNA-binding motif protein 6) (RNA-binding protein DEF-3)	RBM6 DEF3	10180;	Homo sapiens (Human)	1123
PGM1	P36871	PGM1_HUMAN	reviewed	Phosphoglucomutase-1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1)	PGM1	5236;	Homo sapiens (Human)	562
MYO10	Q9HD67	MYO10_HUMAN	reviewed	Unconventional myosin-X (Unconventional myosin-10)	MYO10 KIAA0799	4651;	Homo sapiens (Human)	2058
RSU1	Q15404	RSU1_HUMAN	reviewed	Ras suppressor protein 1 (RSP-1) (Rsu-1)	RSU1 RSP1	6251;	Homo sapiens (Human)	277
EGFR	P00533	EGFR_HUMAN	reviewed	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	EGFR ERBB ERBB1 HER1	1956;	Homo sapiens (Human)	1210
KIAA0196	Q12768	WASC5_HUMAN	reviewed	WASH complex subunit 5 (Strumpellin) (WASH complex subunit strumpellin)	WASHC5 KIAA0196	9897;	Homo sapiens (Human)	1159
EXT1	Q16394	EXT1_HUMAN	reviewed	Exostosin-1 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 1) (Putative tumor suppressor protein EXT1)	EXT1	2131;	Homo sapiens (Human)	746
SPEN	Q96T58	MINT_HUMAN	reviewed	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	SPEN KIAA0929 MINT SHARP	23013;	Homo sapiens (Human)	3664
PTPN12	Q05209	PTN12_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 12 (EC 3.1.3.48) (PTP-PEST) (Protein-tyrosine phosphatase G1) (PTPG1)	PTPN12	5782;	Homo sapiens (Human)	780
TWF2	Q6IBS0	TWF2_HUMAN	reviewed	Twinfilin-2 (A6-related protein) (hA6RP) (Protein tyrosine kinase 9-like) (Twinfilin-1-like protein)	TWF2 PTK9L MSTP011	11344;	Homo sapiens (Human)	349
TJP1	Q07157	ZO1_HUMAN	reviewed	Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)	TJP1 ZO1	7082;	Homo sapiens (Human)	1748
MEST	Q5EB52	MEST_HUMAN	reviewed	Mesoderm-specific transcript homolog protein (EC 3.-.-.-) (Paternally-expressed gene 1 protein)	MEST PEG1	4232;	Homo sapiens (Human)	335
ALDOC	P09972	ALDOC_HUMAN	reviewed	Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Brain-type aldolase)	ALDOC ALDC	230;	Homo sapiens (Human)	364
KDM5A	P29375	KDM5A_HUMAN	reviewed	Lysine-specific demethylase 5A (EC 1.14.11.67) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2) ([histone H3]-trimethyl-L-lysine(4) demethylase 5A)	KDM5A JARID1A RBBP2 RBP2	5927;	Homo sapiens (Human)	1690
RAI14	Q9P0K7	RAI14_HUMAN	reviewed	Ankycorbin (Ankyrin repeat and coiled-coil structure-containing protein) (Novel retinal pigment epithelial cell protein) (Retinoic acid-induced protein 14)	RAI14 KIAA1334 NORPEG	26064;	Homo sapiens (Human)	980
BIRC2	Q13490	BIRC2_HUMAN	reviewed	Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2)	BIRC2 API1 MIHB RNF48	329;	Homo sapiens (Human)	618
CTSL	P07711	CATL1_HUMAN	reviewed	Procathepsin L (EC 3.4.22.15) (Cathepsin L1) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain]	CTSL CTSL1	1514;	Homo sapiens (Human)	333
PAF1	P28328	PEX2_HUMAN	reviewed	Peroxisome biogenesis factor 2 (35 kDa peroxisomal membrane protein) (Peroxin-2) (Peroxisomal membrane protein 3) (Peroxisome assembly factor 1) (PAF-1) (RING finger protein 72)	PEX2 PAF1 PMP3 PMP35 PXMP3 RNF72	5828;	Homo sapiens (Human)	305
PAF1	Q8N7H5	PAF1_HUMAN	reviewed	RNA polymerase II-associated factor 1 homolog (hPAF1) (Pancreatic differentiation protein 2)	PAF1 PD2	54623;	Homo sapiens (Human)	531
BIRC5	O15392	BIRC5_HUMAN	reviewed	Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin)	BIRC5 API4 IAP4	332;	Homo sapiens (Human)	142
RALB	P11234	RALB_HUMAN	reviewed	Ras-related protein Ral-B (EC 3.6.5.2)	RALB	5899;	Homo sapiens (Human)	206
ARFIP2	P53365	ARFP2_HUMAN	reviewed	Arfaptin-2 (ADP-ribosylation factor-interacting protein 2) (Partner of RAC1) (POR1)	ARFIP2 POR1	23647;	Homo sapiens (Human)	341
ARHGAP1	Q07960	RHG01_HUMAN	reviewed	Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP)	ARHGAP1 CDC42GAP RHOGAP1	392;	Homo sapiens (Human)	439
